S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 06 15 12 35 43.0  2011 06 15 12 39 27.0  BSI m 
2011 06 16 00 42 25.0  2011 06 16 00 44 26.0  BSI m 
2011 06 16 12 19 29.0  2011 06 16 12 19 29.0  BSI s 
2011 06 17 00 22 27.0  2011 06 17 00 22 27.0  BSI s 
2011 06 17 12 07 39.0  2011 06 17 12 17 12.0  BSI m 
2011 06 17 23 51 38.0  2011 06 17 23 53 46.0  BSI m 
2011 06 18 11 42  7.0  2011 06 18 11 44 24.0  BSI m 
2011 06 18 23 31 17.0  2011 06 18 23 34 30.0  BSI m 
2011 06 19 11 23  7.0  2011 06 19 11 23 46.0  BSI m 
2011 06 19 23 10 52.0  2011 06 19 23 10 52.0  BSI s 
2011 06 20 11 08 21.0  2011 06 20 11 09 54.0  BSI m 
2011 06 20 22 54  8.0  2011 06 20 22 54 37.0  BSI m 
2011 06 21 10 45 16.0  2011 06 21 10 45 16.0  BSI s 
2011 06 21 21 50 18.0  2011 06 21 22 17 40.0  BSI m 
2011 06 22 10 02 25.0  2011 06 22 10 05 15.0  BSI m 
2011 06 22 22 13 19.0  2011 06 22 22 13 19.0  BSI s 
2011 06 23 10 00 44.0  2011 06 23 10 04 29.0  BSI m 
2011 06 23 21 52  0.0  2011 06 23 21 52  0.0  BSI s 
2011 06 24 09 36 39.0  2011 06 24 09 36 39.0  BSI s 
2011 06 24 21 28  4.0  2011 06 24 21 32  9.0  BSI m 
2011 06 25 09 18 58.0  2011 06 25 09 21 22.0  BSI m 
2011 06 25 21 06 49.0  2011 06 25 21 06 49.0  BSI s 
2011 06 26 08 49 22.0  2011 06 26 08 49 22.0  BSI s 
2011 06 26 20 42  3.0  2011 06 26 20 42 29.0  BSI m 
2011 06 27 08 27 47.0  2011 06 27 08 30 11.0  BSI m 
2011 06 27 20 16 57.0  2011 06 27 20 16 57.0  BSI s 
2011 06 28 08 03 15.0  2011 06 28 08 03 15.0  BSI s 
2011 06 28 19 53  0.0  2011 06 28 19 54 15.0  BSI m 
2011 06 29 07 39 49.0  2011 06 29 07 43  1.0  BSI m 
2011 06 29 19 27 53.0  2011 06 29 19 32 44.0  BSI m 
2011 06 30 07 17 49.0  2011 06 30 07 19 26.0  BSI m 
2011 06 30 19 01 36.0  2011 06 30 19 08 10.0  BSI m 
2011 07 01 06 54  9.0  2011 07 01 06 54 57.0  BSI m 
2011 07 01 18 43 15.0  2011 07 01 18 43 54.0  BSI m 
2011 07 02 06 26  4.0  2011 07 02 06 28  1.0  BSI m 
2011 07 02 18 24  2.0  2011 07 02 18 25 29.0  BSI m 
2011 07 03 06 11 45.0  2011 07 03 06 11 45.0  BSI s 
2011 07 03 17 59 26.0  2011 07 03 18 00 28.0  BSI m 
2011 07 04 05 37 21.0  2011 07 04 05 37 21.0  BSI s 
2011 07 04 17 28 44.0  2011 07 04 17 31 21.0  BSI m 
2011 07 05 05 10 45.0  2011 07 05 05 10 45.0  BSI s 
2011 07 05 17 01 39.0  2011 07 05 17 03 18.0  BSI m 
2011 07 06 04 54  1.0  2011 07 06 04 58 15.0  BSI m 
2011 07 06 16 52  1.0  2011 07 06 16 52  1.0  BSI s 
2011 07 07 04 36 38.0  2011 07 07 04 36 38.0  BSI s 
2011 07 07 16 18 11.0  2011 07 07 16 19 16.0  BSI m 
2011 07 08 04 06 39.0  2011 07 08 04 09 13.0  BSI m 
2011 07 08 15 56 14.0  2011 07 08 15 56 14.0  BSI s 
2011 07 09 03 41 43.0  2011 07 09 03 41 43.0  BSI s 
2011 07 09 15 30 24.0  2011 07 09 15 30 24.0  BSI s 
2011 07 10 03 18 22.0  2011 07 10 03 19 23.0  BSI m 
2011 07 10 15 06 33.0  2011 07 10 15 06 54.0  BSI m 
2011 07 11 02 51 10.0  2011 07 11 02 51 54.0  BSI m 
2011 07 11 14 40 49.0  2011 07 11 14 44 30.0  BSI m 
2011 07 12 02 29  6.0  2011 07 12 02 30 37.0  BSI m 
2011 07 12 14 14 17.0  2011 07 12 14 15 37.0  BSI m 
